Day,Time,Weather,Event,Bus_Capacity,Train_Arrival,Waiting_Passengers
1,11:20,1,1,45,1,190
1,08:00,4,1,45,1,123
1,14:20,2,1,45,1,216
1,14:30,2,1,45,0,84
1,08:40,2,1,45,1,225
1,08:40,1,1,45,1,225
1,17:40,4,0,45,0,64
1,11:10,3,1,45,1,62
1,08:25,1,0,45,1,225
1,11:00,2,1,45,0,76
1,11:30,3,0,45,0,29
1,14:20,3,0,45,1,108
1,17:40,1,1,45,0,80
1,14:00,1,0,45,1,68
1,14:00,1,1,45,1,180
1,17:20,3,1,45,0,80
1,08:35,4,0,45,1,225
1,10:50,2,1,45,0,92
1,14:30,2,0,45,0,33
1,17:40,2,0,45,0,17
1,08:20,1,0,45,1,222
1,11:20,2,1,45,1,193
1,09:05,2,0,45,0,56
1,08:40,2,0,45,1,225
1,08:35,4,1,45,1,225
1,17:00,3,1,45,0,33
1,08:50,2,1,45,0,150
1,11:00,3,1,45,0,162
1,08:10,4,1,45,1,83
1,08:35,3,1,45,1,224
1,11:20,4,0,45,1,179
1,08:35,3,1,45,1,225
1,12:50,1,0,45,0,19
1,08:10,2,1,45,1,78
1,08:00,1,0,45,1,88
1,14:30,1,1,45,0,94
1,10:50,4,0,45,0,118
1,08:20,3,0,45,1,225
1,08:20,1,1,45,1,225
1,08:40,3,0,45,1,223
1,08:10,4,1,45,1,225
1,11:30,4,1,45,0,63
1,08:10,3,0,45,1,38
1,08:30,3,1,45,1,225
1,17:00,1,0,45,0,39
1,17:00,1,0,45,0,35
1,08:15,4,1,45,1,225
1,08:30,1,0,45,1,225
1,11:00,4,0,45,0,140
1,10:30,3,1,45,0,129
1,08:30,2,1,45,1,225
1,17:20,2,1,45,0,101
1,17:20,2,0,45,0,121
1,14:30,1,0,45,0,33
1,08:30,1,1,45,1,225
1,11:10,2,1,45,1,58
1,12:50,4,0,45,0,28
1,07:50,3,0,45,1,68
1,11:30,3,0,45,0,61
1,10:50,1,0,45,0,64
1,08:35,2,0,45,1,183
1,11:00,1,1,45,0,171
1,08:10,4,1,45,1,220
1,14:10,3,1,45,1,181
1,10:30,3,0,45,0,26
1,08:20,1,0,45,1,225
1,08:40,4,1,45,1,225
1,14:10,3,1,45,1,138
1,17:00,3,0,45,0,17
1,08:15,1,0,45,1,154
1,14:30,3,0,45,0,22
1,13:10,4,0,45,0,82
1,08:35,4,0,45,1,225
1,09:05,3,0,45,0,19
1,12:50,3,1,45,0,98
1,11:20,3,0,45,1,168
1,17:40,3,0,45,0,31
1,08:10,3,0,45,1,42
1,08:25,1,0,45,1,225
1,14:00,4,1,45,1,196
1,13:10,3,1,45,0,98
1,08:30,3,1,45,1,225
1,08:50,2,1,45,0,137
1,08:15,4,0,45,1,225
1,10:50,1,0,45,0,93
1,10:30,4,0,45,0,83
1,13:40,4,1,45,0,41
1,14:20,2,0,45,1,141
1,07:50,3,0,45,1,119
1,08:25,1,1,45,1,225
1,08:15,1,1,45,1,225
1,17:40,1,0,45,0,77
1,08:10,1,0,45,1,124
1,08:25,3,0,45,1,220
1,11:00,1,0,45,0,142
1,08:40,1,0,45,1,225
1,14:20,1,0,45,1,179
1,12:50,4,1,45,0,114
1,17:00,4,0,45,0,8
1,08:50,4,1,45,0,105
1,07:50,4,0,45,1,88
1,08:15,1,1,45,1,225
1,08:35,1,0,45,1,225
1,14:10,4,0,45,1,106
1,14:30,4,1,45,0,53
1,08:35,3,0,45,1,225
1,08:35,3,1,45,1,225
1,17:00,4,1,45,0,25
1,08:00,4,0,45,1,44
1,08:00,4,1,45,1,59
1,08:20,3,0,45,1,223
1,13:10,3,1,45,0,20
1,09:05,3,1,45,0,58
1,12:50,3,1,45,0,74
1,08:35,3,0,45,1,196
1,08:30,4,1,45,1,225
1,08:25,3,1,45,1,225
1,11:10,1,1,45,1,71
1,11:20,3,0,45,1,122
1,08:15,3,0,45,1,154
1,10:50,1,1,45,0,209
1,08:40,1,1,45,1,225
1,08:35,1,1,45,1,225
1,10:50,4,1,45,0,45
1,10:50,1,0,45,0,157
1,08:25,1,0,45,1,183
1,08:40,2,1,45,1,225
1,09:05,1,1,45,0,101
1,08:20,3,1,45,1,199
1,11:00,4,1,45,0,60
1,08:25,3,0,45,1,225
1,14:20,4,1,45,1,191
1,08:20,3,1,45,1,225
1,11:30,3,1,45,0,49
1,08:50,4,1,45,0,149
1,09:05,1,0,45,0,11
1,13:10,2,1,45,0,113
1,17:20,1,0,45,0,136
1,12:50,4,1,45,0,35
1,14:20,2,0,45,1,154
1,12:50,1,0,45,0,106
1,14:00,4,1,45,1,101
1,08:50,3,1,45,0,128
1,12:50,2,0,45,0,74
1,08:50,2,1,45,0,113
1,14:00,2,0,45,1,56
1,08:00,2,1,45,1,37
1,08:40,1,0,45,1,208
1,08:35,4,1,45,1,225
1,11:20,1,0,45,1,124
1,11:10,2,1,45,1,202
1,17:20,2,0,45,0,32
1,07:50,2,0,45,1,96
1,09:05,2,1,45,0,28
1,14:10,3,0,45,1,119
1,17:00,3,0,45,0,19
1,08:10,2,1,45,1,225
1,14:00,3,0,45,1,108
1,08:50,4,0,45,0,112
1,17:20,1,0,45,0,135
1,14:30,4,1,45,0,72
1,07:50,1,0,45,1,44
1,14:20,1,1,45,1,195
1,14:10,4,0,45,1,79
1,10:50,1,0,45,0,104
1,08:15,3,1,45,1,225
1,08:20,1,1,45,1,225
1,11:30,1,0,45,0,50
1,11:10,4,0,45,1,132
1,17:00,1,0,45,0,19
1,08:30,4,1,45,1,225
1,08:35,3,1,45,1,225
1,08:50,4,1,45,0,135
1,07:50,3,0,45,1,112
1,13:40,1,1,45,0,182
1,17:00,3,1,45,0,32
1,08:25,2,1,45,1,187
1,08:35,4,0,45,1,225
1,08:00,1,1,45,1,129
1,08:00,2,0,45,1,114
1,14:00,4,0,45,1,72
1,08:25,2,1,45,1,225
1,09:05,2,0,45,0,61
1,08:00,3,0,45,1,110
1,11:30,3,0,45,0,57
1,09:05,3,1,45,0,16
1,08:10,1,0,45,1,162
1,13:10,4,0,45,0,31
1,17:40,1,1,45,0,29
1,11:20,1,0,45,1,156
1,08:10,4,1,45,1,103
1,09:05,4,1,45,0,82
1,07:50,1,0,45,1,49
1,08:30,3,0,45,1,225
1,08:35,4,1,45,1,225
1,14:10,3,0,45,1,129
1,11:20,4,1,45,1,220
1,11:10,4,0,45,1,210
1,10:50,3,0,45,0,101
1,11:00,2,0,45,0,82
1,08:25,4,1,45,1,225
1,09:05,4,0,45,0,50
1,08:25,1,1,45,1,225
1,08:40,4,1,45,1,225
1,11:10,2,1,45,1,134
1,17:40,3,0,45,0,22
1,08:00,4,1,45,1,126
1,11:10,1,0,45,1,113
1,11:30,3,0,45,0,47
1,08:15,4,0,45,1,225
1,08:40,3,1,45,1,225
1,14:10,4,0,45,1,184
1,14:10,4,1,45,1,149
1,14:30,3,1,45,0,42
1,08:10,2,1,45,1,225
1,08:40,2,1,45,1,194
1,13:40,4,0,45,0,15
1,07:50,4,1,45,1,114
1,12:50,2,1,45,0,81
1,13:40,4,0,45,0,98
